level,content
1,鞋子很轻盈，穿上去很合脚，十分值得信赖的产品！
1,包裹性很好，底子也软，明天跑步试试。
1,旗舰店买的还是比较相信的，码子挺合适的，送人的，感觉还不错的样子，总之是推荐的，买的时候刚好有活动，会便宜一点，但是也不知道平时的价格如何。怕我替哦我饿林业局哈我咋联系咯我现在去找你啊就是那个男的估计亏了我卡提肯么可以胡总
1,跑了两天之后来评价，减震感觉很好，对于体重比较大的我来说，在塑胶跑道穿这双跑起来毫无压力，买的大一码半的，松紧很舒服！
1,真，心不错??对得起这个价钱，我现在发现越贵的反而没有平宜的好穿、真是不明的什么原因，我买了八百的还不如三百多的脚感好、越来越爱这个品牌了，已经买了不下十对了，以后也会继续支持你们的
1,特意试穿了一会脚感很好，透气包裹性很强。走路跑步也不会觉得脚在鞋里滑动。一直想买双亚瑟士的，这白色的还蛮百搭的。做工真不错。没什么瑕疵。这个价位的鞋都还是亚瑟士的穿着舒服。有支撑，完全入坑了，以后还会入手的
1,挺舒服的，脚宽建议买大半码
1,很漂亮的鞋子，好几年都是穿这个牌子的跑鞋，很舒服的。满意。
1,鞋子总体还可以，穿着也挺舒服??
1,到货快，包装完好，鞋子大小合适、颜色很白，做工精细。
1,对亚瑟士关注很久了，第一次买先买双便宜的，没有让我失望，非常非常好的鞋
1,Convenient Logistics.Honestly speaking，it's the first time I've tried Asics and it's given me the surprise that I never expected before， a real running smasher，perfectly suits Asian feet with a similar experience with Ultra boost. BTW do wear your long socks that cover your ankle or your ankles gonna get scratched!
1,帅气
1,包裹性好，脚底感觉好！第一次穿，性价比高！
1,鞋子不错很舒服，鞋底挺厚也很有弹性，物有所值啦
1,鞋子刚收到，没有什么难闻的气味，这个价格很不错，款式很好看。性价比相对很高，试穿了一下感觉也很好，，透气不错，特意买的白色运动鞋，适合现在穿，百搭，快递第二天就到了，小客服也是一直耐心讲解。五分好评
1,东西超级好，老公很喜欢。我还会买一双
1,跑起来很舒服。穿在脚上软弹软弹的，穿上就想出去走一走，要是有钱我就一下买两双。愿天下跑狗都能有一双xxx同款。
1,十公里内跑还是内问题，包裹性不错，做工业还可以，应该是正品路感有点硬，有点烧脚，再有就是白色不耐脏
1,大小合适，穿着舒适
1,夜跑很舒服 休闲穿也不错
1,真是太棒了，非常轻盈
-1,感觉像垃圾一样！
-1,嗯，穿上显脚大
-1,鞋子味道有点大，300多块钱应该买不到正品。将就着穿吧！
1,太好看了
-1,第一次买这个牌子，总感觉好像哪里不对，或许是没穿过的原因吧，鞋子挺舒服的，就是味道有点大。
1,很好看，很轻便，鞋底很软，就是圆通快递出了点问题
1,这双亚瑟士版型是很好看，踩实感很棒 290的价格也值了
1,蛮好的 一直在这家买
1,很棒，耐穿又耐看。
1,很好，穿着很舒服
1,亚瑟士跑鞋比同价位的ād和NIKe都好穿
1,舒服，走了两天路，缓震效果明显，同时，外形流水美观，后续跑步时再看看效果
1,跑了两天了，还可以。比我以前的帆布鞋跑起来舒服，脚也不痛。
1,不错不错舒服
1,鞋子做工好，客服建议尺码准确，40号的脚，要买40.5号的。女生穿，也不显脚大。
1,五星好评，之前不相信，穿到脚上去跑了一下试了试，真的非常舒服。把整个脚包裹得很好，跑回来很轻松，有弹性，减震好。而且最棒的是客服态度非常好，买了三双鞋子，有一双因为鞋号不太合适换了一双。客服耐心解答问题，态度非常好，很快完成了换货，而且换回来的鞋子也是认真包装。三百多，性价比还是很高的，一次不错的购物，以后也会继续关注的。
1,nice
1,物流算快的了 给男朋友买的七夕礼物希望他会喜欢
1,质量不错，很喜欢，客服服务也好。发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
1,很舒服，跑步也很爽，下回买kayano
1,不错，很软
1,舒服，跑鞋我只信亚瑟士
1,穿着还好～
1,质量很好，穿上很轻
1,鞋子很好，很舒服
1,鞋子不错是正品，挺好看挺轻巧的，上脚后和以前穿过的跑鞋相比跑起步来缓震感明显，不是那么容易感觉到脚步疲惫，可以说是很舒适了，这个价位作为一款入门级跑鞋值得尝试一下，推荐购买
1,鞋刚收到。质量不错，穿着舒服，美观大方。好评吧!
1,很好看，很漂亮。
1,可以说是很舒服了
1,昨晚收到，今晨试穿了感觉包裹性很好，脚感舒适有缓冲效果。担心牢固度，只有二个月后见分晓。每天塑胶跑道5km，破了走三包流程。若质量坚固也向广大跑友推荐。
1,不好意思，确认晚了，主要是等小孩试过后保险，小孩说不错，哈哈
1,给爸爸买的 脚穿进去还蛮好 就是他说在地面上走路有声音。。。
1,质量很不错 跑步穿很舒服 还会光顾
1,不错，老公说鞋子穿起来很舒服，
1,买来跑步的！质量还不错！
